2024-11-21 23:33:43 | INFO  | main | com.weilai.log.LogApplication 50 |  | Starting LogApplication using Java 17.0.11 with PID 17344 (C:\workspace\log\target\classes started by 君上 in C:\workspace\log)
2024-11-21 23:33:43 | INFO  | main | com.weilai.log.LogApplication 654 |  | No active profile set, falling back to 1 default profile: "default"
2024-11-21 23:33:46 | INFO  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 111 |  | Tomcat initialized with port 8080 (http)
2024-11-21 23:33:46 | INFO  | main | org.apache.coyote.http11.Http11NioProtocol 173 |  | Initializing ProtocolHandler ["http-nio-8080"]
2024-11-21 23:33:46 | INFO  | main | org.apache.catalina.core.StandardService 173 |  | Starting service [Tomcat]
2024-11-21 23:33:46 | INFO  | main | org.apache.catalina.core.StandardEngine 173 |  | Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-21 23:33:46 | INFO  | main | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 |  | Initializing Spring embedded WebApplicationContext
2024-11-21 23:33:46 | INFO  | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 296 |  | Root WebApplicationContext: initialization completed in 2906 ms
2024-11-21 23:33:48 | INFO  | main | org.apache.coyote.http11.Http11NioProtocol 173 |  | Starting ProtocolHandler ["http-nio-8080"]
2024-11-21 23:33:48 | INFO  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 243 |  | Tomcat started on port 8080 (http) with context path '/'
2024-11-21 23:33:48 | INFO  | main | com.weilai.log.LogApplication 56 |  | Started LogApplication in 6.757 seconds (process running for 9.354)
2024-11-21 23:33:48 | INFO  | http-nio-8080-exec-2 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 |  | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-21 23:33:48 | INFO  | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet 532 |  | Initializing Servlet 'dispatcherServlet'
2024-11-21 23:33:48 | INFO  | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet 554 |  | Completed initialization in 1 ms
2024-11-21 23:34:20 | INFO  | http-nio-8080-exec-3 | com.weilai.log.controller.HelloController 15 | 92554f6e-c26f-4d78-aa78-b26ef9b9d01a | hello world!
2024-11-21 23:35:04 | INFO  |  | main | com.weilai.log.LogApplication 50 | Starting LogApplication using Java 17.0.11 with PID 20192 (C:\workspace\log\target\classes started by 君上 in C:\workspace\log)
2024-11-21 23:35:04 | INFO  |  | main | com.weilai.log.LogApplication 654 | No active profile set, falling back to 1 default profile: "default"
2024-11-21 23:35:05 | INFO  |  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 111 | Tomcat initialized with port 8080 (http)
2024-11-21 23:35:05 | INFO  |  | main | org.apache.coyote.http11.Http11NioProtocol 173 | Initializing ProtocolHandler ["http-nio-8080"]
2024-11-21 23:35:05 | INFO  |  | main | org.apache.catalina.core.StandardService 173 | Starting service [Tomcat]
2024-11-21 23:35:05 | INFO  |  | main | org.apache.catalina.core.StandardEngine 173 | Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-21 23:35:05 | INFO  |  | main | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 | Initializing Spring embedded WebApplicationContext
2024-11-21 23:35:05 | INFO  |  | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 296 | Root WebApplicationContext: initialization completed in 1330 ms
2024-11-21 23:35:06 | INFO  |  | main | org.apache.coyote.http11.Http11NioProtocol 173 | Starting ProtocolHandler ["http-nio-8080"]
2024-11-21 23:35:06 | INFO  |  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 243 | Tomcat started on port 8080 (http) with context path '/'
2024-11-21 23:35:06 | INFO  |  | main | com.weilai.log.LogApplication 56 | Started LogApplication in 3.276 seconds (process running for 3.988)
2024-11-21 23:36:04 | INFO  |  | http-nio-8080-exec-1 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-21 23:36:04 | INFO  |  | http-nio-8080-exec-1 | org.springframework.web.servlet.DispatcherServlet 532 | Initializing Servlet 'dispatcherServlet'
2024-11-21 23:36:04 | INFO  |  | http-nio-8080-exec-1 | org.springframework.web.servlet.DispatcherServlet 554 | Completed initialization in 1 ms
2024-11-21 23:36:04 | INFO  | 0f9e477a-aa91-4fe6-8d6b-ab785a77a4cf | http-nio-8080-exec-1 | com.weilai.log.controller.HelloController 15 | hello world!
2024-11-21 23:38:42 | INFO  |  | main | com.weilai.log.LogApplication 50 | Starting LogApplication using Java 17.0.11 with PID 15328 (C:\workspace\log\target\classes started by 君上 in C:\workspace\log)
2024-11-21 23:38:42 | INFO  |  | main | com.weilai.log.LogApplication 654 | No active profile set, falling back to 1 default profile: "default"
2024-11-21 23:38:44 | INFO  |  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 111 | Tomcat initialized with port 8080 (http)
2024-11-21 23:38:44 | INFO  |  | main | org.apache.coyote.http11.Http11NioProtocol 173 | Initializing ProtocolHandler ["http-nio-8080"]
2024-11-21 23:38:44 | INFO  |  | main | org.apache.catalina.core.StandardService 173 | Starting service [Tomcat]
2024-11-21 23:38:44 | INFO  |  | main | org.apache.catalina.core.StandardEngine 173 | Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-21 23:38:44 | INFO  |  | main | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 | Initializing Spring embedded WebApplicationContext
2024-11-21 23:38:44 | INFO  |  | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 296 | Root WebApplicationContext: initialization completed in 1442 ms
2024-11-21 23:38:45 | INFO  |  | main | org.apache.coyote.http11.Http11NioProtocol 173 | Starting ProtocolHandler ["http-nio-8080"]
2024-11-21 23:38:45 | INFO  |  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer 243 | Tomcat started on port 8080 (http) with context path '/'
2024-11-21 23:38:45 | INFO  |  | main | com.weilai.log.LogApplication 56 | Started LogApplication in 3.628 seconds (process running for 4.536)
2024-11-21 23:38:50 | INFO  |  | http-nio-8080-exec-2 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-21 23:38:50 | INFO  |  | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet 532 | Initializing Servlet 'dispatcherServlet'
2024-11-21 23:38:50 | INFO  |  | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet 554 | Completed initialization in 1 ms
2024-11-21 23:38:50 | INFO  | 8ec496a6-60b9-446d-8364-5c6ccc7bfb8d | http-nio-8080-exec-2 | com.weilai.log.controller.HelloController 15 | hello world!
2024-11-21 23:38:55 | INFO  | 5175fa48-34b1-42be-8a2b-f1b8c5422e82 | http-nio-8080-exec-6 | org.springdoc.api.AbstractOpenApiResource 369 | Init duration for springdoc-openapi is: 169 ms
2024-11-21 23:39:03 | INFO  | a10c035e-d094-49d5-8a91-ca449dcb22fb | http-nio-8080-exec-9 | com.weilai.log.controller.HelloController 15 | hello world!
